,Purpose of Visit,Year,Visitor Arrivals,Growth Rate(%)
United Kingdom,Transit,2006,0,-100
United Kingdom,Transit,2007,,
United Kingdom,Transit,2008,,
United Kingdom,Transit,2009,,
United Kingdom,Transit,2010,,
United Kingdom,Transit,2011,,
United Kingdom,Transit,2012,,
United Kingdom,Transit,2013,,
United Kingdom,Transit,2014,,
United Kingdom,Transit,2015,,
United Kingdom,Transit,2016,,
United Kingdom,Transit,2017,,
United Kingdom,Transit,2018,,
United Kingdom,Transit,2019,,
United Kingdom,Transit,2020,,
United Kingdom,Transit,2021,,
United Kingdom,Transit,2022,,
United Kingdom,Transit,2023,,
United Kingdom,Transit,2024,,
United States,Business,1992,"199,679",
United States,Business,1993,"197,150",-1.266532785
United States,Business,1994,"207,138",5.066193254
United States,Business,1995,"219,462",5.949656751
United States,Business,1996,"241,350",9.973480603
United States,Business,1997,"269,973",11.85954009
United States,Business,1998,"268,549",-0.527460153
United States,Business,1999,"273,452",1.825737575
United States,Business,2000,"289,496",5.86720887
United States,Business,2001,"251,088",-13.2671954
United States,Business,2002,"252,700",0.64200599
United States,Business,2003,"242,055",-4.212504947
United States,Business,2004,"247,276",2.156947801
United States,Business,2005,"259,571",4.972176839
United States,Business,2006,"260,430",0.330930651
United States,Business,2007,"258,085",-0.900433898
United States,Business,2008,"228,311",-11.53650929
United States,Business,2009,"184,878",-19.02361253
United States,Business,2010,"208,232",12.63211415
United States,Business,2011,"188,595",-9.430346921
United States,Business,2012,"215,597",14.31745274
United States,Business,2013,"214,076",-0.705482915
United States,Business,2014,"219,240",2.412227433
United States,Business,2015,"220,022",0.356686736
United States,Business,2016,"213,150",-3.123324031
United States,Business,2017,"218,372",2.449917898
United States,Business,2018,"219,927",0.71208763
United States,Business,2019,"216,392",-1.60735153
United States,Business,2020,"28,857",-86.66447928
United States,Business,2021,"1,294",-95.51581939
United States,Business,2022,"58,336","4,408.19"
United States,Business,2023,"119,349",104.5889331
United States,Business,2024,"18,354",
United States,Others,1992,"62,890",
United States,Others,1993,"63,843",1.515344252
United States,Others,1994,"65,815",3.088827279
United States,Others,1995,"65,948",0.202081592
United States,Others,1996,"67,648",2.577788561
United States,Others,1997,"67,994",0.511471145
United States,Others,1998,"69,365",2.016354384
United States,Others,1999,"67,279",-3.007280329
United States,Others,2000,"66,292",-1.467025372
United States,Others,2001,"63,990",-3.472515537
United States,Others,2002,"66,355",3.695889983
United States,Others,2003,"63,088",-4.923517444
United States,Others,2004,"66,633",5.619135176
United States,Others,2005,"74,567",11.90701304
United States,Others,2006,"65,823",-11.72636689
United States,Others,2007,"66,244",0.639594063
United States,Others,2008,"65,897",-0.523821025
United States,Others,2009,"63,774",-3.221694463
United States,Others,2010,"61,755",-3.165866968
United States,Others,2011,"58,969",-4.511375597
United States,Others,2012,"56,490",-4.203903746
United States,Others,2013,"58,436",3.444857497
United States,Others,2014,"61,353",4.991785885
United States,Others,2015,"63,843",4.058481248
United States,Others,2016,"67,102",5.104709992
United States,Others,2017,"69,506",3.582605586
United States,Others,2018,"73,510",5.760653757
United States,Others,2019,"78,433",6.697048021
United States,Others,2020,"20,925",-73.32117859
United States,Others,2021,"10,739",-48.6786141
United States,Others,2022,"36,040",235.5992178
United States,Others,2023,"56,125",55.72974473
United States,Others,2024,"12,125",
United States,Tourism,1992,"298,049",
United States,Tourism,1993,"272,348",-8.623078756
United States,Tourism,1994,"258,131",-5.220159502
United States,Tourism,1995,"254,472",-1.417497317
United States,Tourism,1996,"277,802",9.168002767
United States,Tourism,1997,"283,729",2.133533956
United States,Tourism,1998,"328,781",15.87853198
United States,Tourism,1999,"356,881",8.54672259
United States,Tourism,2000,"370,054",3.691146349
United States,Tourism,2001,"377,109",1.906478514
United States,Tourism,2002,"412,845",9.476305259
United States,Tourism,2003,"350,674",-15.05916264
United States,Tourism,2004,"445,840",27.13802563
United States,Tourism,2005,"487,887",9.43096178
United States,Tourism,2006,"490,472",0.529835802
United States,Tourism,2007,"491,553",0.220399941
United States,Tourism,2008,"474,137",-3.543056395
United States,Tourism,2009,"451,267",-4.823500381
United States,Tourism,2010,"457,247",1.325157833
United States,Tourism,2011,"318,323",-30.38270344
United States,Tourism,2012,"444,622",39.67636646
United States,Tourism,2013,"526,768",18.47546905
United States,Tourism,2014,"611,075",16.00457887
United States,Tourism,2015,"749,393",22.63519208
United States,Tourism,2016,"962,467",28.43287834
United States,Tourism,2017,"1,087,086",12.9478725
United States,Tourism,2018,"1,232,970",13.41972944
United States,Tourism,2019,"1,429,036",15.90192787
United States,Tourism,2020,"169,525",-88.13710781
United States,Tourism,2021,"7,993",-95.2850612
United States,Tourism,2022,"229,137","2,766.72"
United States,Tourism,2023,"1,870,380",716.2714882
United States,Tourism,2024,"250,095",
United States,Transit,1992,322,
United States,Transit,1993,60,-81.36645963
United States,Transit,1994,268,346.6666667
United States,Transit,1995,17,-93.65671642
United States,Transit,1996,36,111.7647059
United States,Transit,1997,41,13.88888889
United States,Transit,1998,5,-87.80487805
United States,Transit,1999,18,260
United States,Transit,2000,112,522.2222222
United States,Transit,2001,5,-95.53571429
United States,Transit,2002,0,-100
United States,Transit,2003,4,
United States,Transit,2004,4,0
United States,Transit,2005,8,100
United States,Transit,2006,2,-75
United States,Transit,2007,,
United States,Transit,2008,,
United States,Transit,2009,,
United States,Transit,2010,,
United States,Transit,2011,,
United States,Transit,2012,,
United States,Transit,2013,,
United States,Transit,2014,,
United States,Transit,2015,,
United States,Transit,2016,,
United States,Transit,2017,,
United States,Transit,2018,,
United States,Transit,2019,,
United States,Transit,2020,,
United States,Transit,2021,,
United States,Transit,2022,,
United States,Transit,2023,,
United States,Transit,2024,,
