Country,Number of Foreign Visitors
South Korea,6.96E+06
Taiwan,4.20E+06
Others,3.92E+06
China,2.43E+06
Hong Kong,2.11E+06
U.S.A.,2.05E+06
Thailand,9.96E+05
Philippines,6.22E+05
Australia,6.13E+05
Singapore,5.91E+05
Vietnam,5.74E+05
